label;title;icon;year;tags;shortDescription;longDescription;wikiLink;date
Chrobry;Bolesław I Chrobry;crown;1025;poland,person,king;Koronacja - 18 IV 1025;;https://en.wikipedia.org/wiki/Boles%C5%82aw_I_the_Brave;18 IV 1025
Mieszko II;Mieszko II Lambert;crown;1025;poland,person,king;Koronacja - 25 XII 1025;;https://en.wikipedia.org/wiki/Mieszko_II_Lambert;25 XII 1025
Bolesław II;Bolesław II Szczodry;crown;1076;poland,person,king;Koronacja - 25 XII 1076;;https://en.wikipedia.org/wiki/Boles%C5%82aw_II_the_Bold;25 XII 1076
Przemysł II;Przemysł II;crown;1295;poland,person,king;Koronacja - 26 VI 1295;;https://en.wikipedia.org/wiki/Przemys%C5%82_II;26 VI 1295
Wacław II;Wacław II;crown;1300;poland,person,king;Koronacja - VIII 1300;;https://en.wikipedia.org/wiki/Wenceslaus_II_of_Bohemia;VIII 1300
Wacław III;Wacław III;crown;1305;poland,person,king;Koronacja - 1305;;https://en.wikipedia.org/wiki/Wenceslaus_III_of_Bohemia;1305
Władysław I Łokietek;Łokietek;crown;1320;poland,person,king;Koronacja - 20 I 1320;;;20 I 1320
Kazimierz Wielki;Kazimierz III Wielki;crown;1333;poland,person,king;Koronacja - 25 IV 1333;;;25 IV 1333
Węgierski;Ludwik Węgierski;crown;1370;poland,person,king;Koronacja - 17 XI 1370;;;17 XI 1370
Andegaweńska;Jadwiga Andegaweńska;crown;1384;poland,person,king;Koronacja - 16 X 1384;;;16 X 1384
Jagiełło;Władysław II Jagiełło;crown;1386;poland,person,king;Koronacja - 4 III 1386;;;4 III 1386
Warneńczyk;Władysław III Warneńczyk;crown;1434;poland,person,king;Koronacja - 25 VII 1434;;;25 VII 1434
K. Jagiellończyk;Kazimierz IV Jagiellończyk;crown;1447;poland,person,king;Koronacja - 25 VI 1447;;;25 VI 1447
Olbracht;Jan I Olbracht;crown;1492;poland,person,king;Koronacja - 23 IX 1492;;;23 IX 1492
A. Jagiellończyk;Aleksander Jagiellończyk;crown;1501;poland,person,king;Koronacja - 12 XII 1501;;;12 XII 1501
Zygmunt Stary;Zygmunt I Stary;crown;1507;poland,person,king;Koronacja - 24 I 1507;;;24 I 1507
Zygmunt August;Zygmunt II August;crown;1530;poland,person,king;Koronacja - 20 II 1530;;;20 II 1530
Walezy;Henryk Walezy;crown;1573;poland,person,king;Koronacja - 11 V 1573;;;11 V 1573
Jagiellonka;Anna Jagiellonka;crown;1575;poland,person,king;Koronacja - 13 XII 1575;;;13 XII 1575
Batory;Stefan Batory;crown;1576;poland,person,king;Koronacja - 1 V 1576;;;1 V 1576
Zygmunt Waza;Zygmunt III Waza;crown;1587;poland,person,king;Koronacja - 19 VIII 1587;;;19 VIII 1587
Władysław Waza;Władysław IV Waza;crown;1632;poland,person,king;Koronacja - 8 XI 1632;;;8 XI 1632
Kazimierz Waza;Jan II Kazimierz Waza;crown;1648;poland,person,king;Koronacja - 20 XI 1648;;;20 XI 1648
Korybut Wiśniowiecki;Michał Korybut Wiśniowiecki;crown;1669;poland,person,king;Koronacja - 19 VI 1669;;;19 VI 1669
Sobieski;Jan III Sobieski;crown;1674;poland,person,king;Koronacja - 21 V 1674;;;21 V 1674
August Mocny;August II Mocny;crown;1697;poland,person,king;Koronacja - 15 IX 1697;;;15 IX 1697
Stanisław Leszczyński;Stanisław Leszczyński;crown;1704;poland,person,king;Koronacja - 12 VII 1704;;;12 VII 1704
Sas;August III Sas;crown;1733;poland,person,king;Koronacja - 5 X 1733;;;5 X 1733
Poniatowski;Stanisław August Poniatowski;crown;1764;poland,person,king;Koronacja - 7 IX 1764;;;7 IX 1764
