title;label;icon;year;tags;shortDescription;longDescription;wikiLink;date
Józef Piłsudski;Piłsudski;president;1918;poland,person,president;Naczelnik Państwa 29 listopada 1918 - 14 grudnia 1922;Naczelnik Państwa - 29 listopada 1918 - 14 grudnia 1922       bezpartyjny, popierany i związany z obozem PPS;https://en.wikipedia.org/wiki/J%C3%B3zef_Pi%C5%82sudski;29.11.1918
Gabriel Narutowicz;Narutowicz;president;1922;poland,person,president;Prezydent - 14 grudnia 1922 - 16 grudnia 1922 ;Prezydent - 14 grudnia 1922 - 16 grudnia 1922 bezpartyjny, zgłoszony przez Polskie Stronnictwo Ludowe „Wyzwolenie”;https://en.wikipedia.org/wiki/Gabriel_Narutowicz;14.12.1922
Maciej Rataj (I kadencja);Rataj;president;1922;poland,person,president;Prezydent - 16 grudnia 1922 - 20 grudnia 1922;Prezydent - 16 grudnia 1922 - 20 grudnia 1922        Polskie Stronnictwo Ludowe „Piast”;https://en.wikipedia.org/wiki/Maciej_Rataj;16.12.1922
Stanisław Wojciechowski;Wojciechowski;president;1922;poland,person,president;Prezydent - 20 grudnia 1922 - 14 maja 1926;Prezydent - 20 grudnia 1922 - 14 maja 1926 Polskie Stronnictwo Ludowe „Piast”;https://en.wikipedia.org/wiki/Stanis%C5%82aw_Wojciechowski;20.12.1922
Maciej Rataj (II kadencja);Rataj;president;1926;poland,person,president;Prezydent - 15 maja 1926 - 4 czerwca 1926;Prezydent - 15 maja 1926 - 4 czerwca 1926 Polskie Stronnictwo Ludowe „Piast”;https://en.wikipedia.org/wiki/Maciej_Rataj;15.05.1926
Ignacy Mościcki;Mościcki;president;1926;poland,person,president;Prezydent - 4 czerwca 1926 - 30 września 1939;Prezydent - 4 czerwca 1926 - 30 września 1939 bezpartyjny, związany z sanacją;https://en.wikipedia.org/wiki/Ignacy_Mo%C5%9Bcicki;04.06.1926
Edward Śmigły-Rydz;Śmigły-Rydz;president;1939;poland,person,president;Prezydent - 1 września 1939 - 25 września 1939 ;Prezydent - 1 września 1939 - 25 września 1939 - Obóz Zjednoczenia Narodowego;https://en.wikipedia.org/wiki/Edward_Rydz-%C5%9Amig%C5%82y;01.09.1939
Bolesław Wieniawa-Długoszowski;Wieniawa-Długoszowski;president;1939;poland,person,president;Prezydent - 25 września 1939 - 29 września 1939 ;Prezydent - 25 września 1939 - 29 września 1939 - związany z Obozem Zjednoczenia Narodowego;https://en.wikipedia.org/wiki/Boles%C5%82aw_Wieniawa-D%C5%82ugoszowski;25.09.1939
Władysław Raczkiewicz;Raczkiewicz;president;1939;poland,person,president;Prezydent - 30 września 1939 - 6 czerwca 1947 ;Prezydent - 30 września 1939 - 6 czerwca 1947 - związany z Obozem Zjednoczenia Narodowego;https://en.wikipedia.org/wiki/W%C5%82adys%C5%82aw_Raczkiewicz;30.09.1939
August Zaleski;Zaleski;president;1947;poland,person,president;Prezydent - 9 czerwca 1947 - 7 kwietnia 1972 ;Prezydent - 9 czerwca 1947 - 7 kwietnia 1972 - bezpartyjny, związany z sanacją;https://en.wikipedia.org/wiki/August_Zaleski;09.06.1947
Rada Trzech;Rada Trzech;president;1954;poland,person,president;Rada Trzech 3 sierpnia 1954 - 7 kwietnia 1972;Rada Trzech 3 sierpnia 1954 - 7 kwietnia 1972;;03.08.1954
Stanisław Ostrowski;Ostrowski;president;1972;poland,person,president;Prezydent - 9 kwietnia 1972 - 8 kwietnia 1979 ;Prezydent - 9 kwietnia 1972 - 8 kwietnia 1979 - bezpartyjni, związani z sanacją;https://en.wikipedia.org/wiki/Stanis%C5%82aw_Ostrowski;09.04.1972
