label;title;icon;year;tags;shortDescription;longDescription;date
Piłsudski;Józef Piłsudski;president;1918;poland,person,president;Naczelnik Państwa 29 listopada 1918 - 14 grudnia 1922;Naczelnik Państwa 29 listopada 1918 - 14 grudnia 1922       bezpartyjny, popierany i związany z obozem PPS[d];
Narutowicz;Gabriel Narutowicz;president;1922;poland,person,president;Prezydent - 14 grudnia 1922 - 16 grudnia 1922 ;Prezydent - 14 grudnia 1922 - 16 grudnia 1922 bezpartyjny, zgłoszony przez Polskie Stronnictwo Ludowe „Wyzwolenie”;
Rataj;Maciej Rataj;president;1922;poland,person,president;Prezydent - 16 grudnia 1922 - 20 grudnia 1922;Prezydent - 16 grudnia 1922 - 20 grudnia 1922        Polskie Stronnictwo Ludowe „Piast”;
Wojciechowski;Stanisław Wojciechowski;president;1922;poland,person,president;Prezydent - 20 grudnia 1922 - 14 maja 1926;Prezydent - 20 grudnia 1922 - 14 maja 1926 Polskie Stronnictwo Ludowe „Piast”;
Rataj;Maciej Rataj;president;1926;poland,person,president;Prezydent - 15 maja 1926 - 4 czerwca 1926;Prezydent - 15 maja 1926 - 4 czerwca 1926 Polskie Stronnictwo Ludowe „Piast”;
Mościcki;Ignacy Mościcki;president;1926;poland,person,president;Prezydent - 4 czerwca 1926 - 30 września 1939;Prezydent - 4 czerwca 1926 - 30 września 1939 bezpartyjny, związany z sanacją;
Śmigły-Rydz;Edward Śmigły-Rydz;president;1939;poland,person,president;Prezydent - 1 września 1939 - 25 września 1939 ;Prezydent - 1 września 1939 - 25 września 1939 - Obóz Zjednoczenia Narodowego;
Wieniawa-Długoszowski;Bolesław Wieniawa-Długoszowski;president;1939;poland,person,president;Prezydent - 25 września 1939 - 29 września 1939 ;Prezydent - 25 września 1939 - 29 września 1939 - związany z Obozem Zjednoczenia Narodowego;
Raczkiewicz;Władysław Raczkiewicz;president;1939;poland,person,president;Prezydent - 30 września 1939 - 6 czerwca 1947 ;Prezydent - 30 września 1939 - 6 czerwca 1947 - związany z Obozem Zjednoczenia Narodowego;
Zaleski;August Zaleski;president;1947;poland,person,president;Prezydent - 9 czerwca 1947 - 7 kwietnia 1972 ;Prezydent - 9 czerwca 1947 - 7 kwietnia 1972 - bezpartyjny, związany z sanacją;
Rada Trzech;Rada Trzech;president;1954;poland,person,president;Rada Trzech 3 sierpnia 1954 - 7 kwietnia 1972;Rada Trzech 3 sierpnia 1954 - 7 kwietnia 1972;
Ostrowski;Stanisław Ostrowski;president;1972;poland,person,president;Prezydent - 9 kwietnia 1972 - 8 kwietnia 1979 ;Prezydent - 9 kwietnia 1972 - 8 kwietnia 1979 - bezpartyjni, związani z sanacją;
Raczyński;Edward Raczyński;president;1979;poland,person,president;Prezydent - 8 kwietnia 1979 - 8 kwietnia 1986 ;Prezydent - 8 kwietnia 1979 - 8 kwietnia 1986 - bezpartyjni, związani z sanacją;
Sabbat;Kazimierz Sabbat;president;1986;poland,person,president;Prezydent - 8 kwietnia 1986 - 19 lipca 1989 ;Prezydent - 8 kwietnia 1986 - 19 lipca 1989 - bezpartyjni, związani z sanacją;
Kaczorowski;Ryszard Kaczorowski;president;1989;poland,person,president;Prezydent - 19 lipca 1989 - 22 grudnia 1990 ;Prezydent - 19 lipca 1989 - 22 grudnia 1990 - bezpartyjni, związani z sanacją;
Bierut;Bolesław Bierut;president;1944;poland,person,president;Prezydent Krajowej Rady Narodowej - 20 września 1944 - 20 listopada 1952;Prezydent Krajowej Rady Narodowej - 20 września 1944 - 20 listopada 1952  - bezpartyjny, popierany przez Polską Partię Robotniczą;
Zawadzki;Aleksander Zawadzki;president;1952;poland,person,president;Przewodniczący Rady Państwa - 20.11.1952 - 7.08.1964;Przewodniczący Rady Państwa - 20.11.1952 - 7.08.1964 - Polska Zjednoczona Partia Robotnicza;
Ochab;Edward Ochab;president;1964;poland,person,president;Przewodniczący Rady Państwa - 12.08.1964 - 11.04.1968;Przewodniczący Rady Państwa - 12.08.1964 - 11.04.1968 - Polska Zjednoczona Partia Robotnicza;
Spychalski;Marian Spychalski;president;1968;poland,person,president;Przewodniczący Rady Państwa - 11.04.1968 - 23.12.1970;Przewodniczący Rady Państwa - 11.04.1968 - 23.12.1970 - Polska Zjednoczona Partia Robotnicza;
Cyrankiewicz;Józef Cyrankiewicz;president;1970;poland,person,president;Przewodniczący Rady Państwa - 23.12.1970 - 28.03.1972;Przewodniczący Rady Państwa - 23.12.1970 - 28.03.1972 - Polska Zjednoczona Partia Robotnicza;
Jabłoński;Henryk Jabłoński;president;1972;poland,person,president;Przewodniczący Rady Państwa - 28.03.1972 - 6.11.1985;Przewodniczący Rady Państwa - 28.03.1972 - 6.11.1985 - Polska Zjednoczona Partia Robotnicza;
Jaruzelski;Wojciech Jaruzelski;president;1985;poland,person,president;Przewodniczący Rady Państwa - 6.11.1985 - 19.07.1989;Przewodniczący Rady Państwa - 6.11.1985 - 19.07.1989 - Polska Zjednoczona Partia Robotnicza;
Jaruzelski;Wojciech Jaruzelski;president;1989;poland,person,president;Prezydent- 31 grudnia 1989 - 22 grudnia 1990 - do 29 stycznia 1990;Prezydent- 31 grudnia 1989 - 22 grudnia 1990 - do 29 stycznia 1990 Polska Zjednoczona Partia Robotnicza, następnie bezpartyjny, popierany przez Socjaldemokrację Rzeczypospolitej Polskiej;
